🚀 FULL MATRIX: 140 files × 5 backends × 3 tiers = 2100 calls
📋 Checkpoint: 0 results already in live_matrix_full_v2.jsonl
  ✅ [gemma4:31b-cloud] tier1 3DES_0001_openssl.bin: GT=3DES PRED=3DES (1.1s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0002_openssl.bin: GT=3DES PRED=3DES (0.6s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0003_pycryptodome.bin: GT=3DES PRED=3DES (2.4s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0004_pycryptodome.bin: GT=3DES PRED=3DES (0.7s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0005_openssl.bin: GT=3DES PRED=3DES (0.4s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0006_pycryptodome.bin: GT=3DES PRED=3DES (0.3s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0007_openssl.bin: GT=3DES PRED=3DES (0.4s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0008_pycryptodome.bin: GT=3DES PRED=3DES (0.6s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0009_openssl.bin: GT=3DES PRED=3DES (1.1s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0010_pycryptodome.bin: GT=3DES PRED=3DES (0.3s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0011_pycryptodome.bin: GT=3DES PRED=3DES (1.4s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0012_openssl.bin: GT=3DES PRED=3DES (0.3s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0013_openssl.bin: GT=3DES PRED=3DES (0.3s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0014_openssl.bin: GT=3DES PRED=3DES (0.5s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0015_pycryptodome.bin: GT=3DES PRED=3DES (0.3s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0016_openssl.bin: GT=3DES PRED=3DES (0.3s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0017_openssl.bin: GT=3DES PRED=3DES (1.7s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0018_pycryptodome.bin: GT=3DES PRED=3DES (0.7s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0019_pycryptodome.bin: GT=3DES PRED=3DES (0.4s)
  ✅ [gemma4:31b-cloud] tier1 3DES_0020_openssl.bin: GT=3DES PRED=3DES (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0001_openssl.bin: GT=AES-128 PRED=AES-128 (0.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0002_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0003_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0004_openssl.bin: GT=AES-128 PRED=AES-128 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0005_openssl.bin: GT=AES-128 PRED=AES-128 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0006_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0007_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0008_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0009_openssl.bin: GT=AES-128 PRED=AES-128 (1.1s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0010_openssl.bin: GT=AES-128 PRED=AES-128 (1.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0011_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0012_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.6s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0013_openssl.bin: GT=AES-128 PRED=AES-128 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0014_openssl.bin: GT=AES-128 PRED=AES-128 (5.2s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0015_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0016_openssl.bin: GT=AES-128 PRED=AES-128 (0.6s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0017_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0018_openssl.bin: GT=AES-128 PRED=AES-128 (0.6s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0019_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 AES-128_0020_pycryptodome.bin: GT=AES-128 PRED=AES-128 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0001_openssl.bin: GT=AES-256 PRED=AES-256 (0.6s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0002_openssl.bin: GT=AES-256 PRED=AES-256 (2.2s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0003_openssl.bin: GT=AES-256 PRED=AES-256 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0004_openssl.bin: GT=AES-256 PRED=AES-256 (0.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0005_openssl.bin: GT=AES-256 PRED=AES-256 (0.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0006_openssl.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0007_pycryptodome.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0008_pycryptodome.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0009_openssl.bin: GT=AES-256 PRED=AES-256 (0.7s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0010_openssl.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0011_pycryptodome.bin: GT=AES-256 PRED=AES-256 (0.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0012_pycryptodome.bin: GT=AES-256 PRED=AES-256 (1.0s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0013_openssl.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0014_openssl.bin: GT=AES-256 PRED=AES-256 (0.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0015_openssl.bin: GT=AES-256 PRED=AES-256 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0016_pycryptodome.bin: GT=AES-256 PRED=AES-256 (0.8s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0017_openssl.bin: GT=AES-256 PRED=AES-256 (0.3s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0018_openssl.bin: GT=AES-256 PRED=AES-256 (0.9s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0019_pycryptodome.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 AES-256_0020_pycryptodome.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ✅ [gemma4:31b-cloud] tier1 ChaCha20_0001_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 ChaCha20_0002_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 ChaCha20_0003_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 ChaCha20_0004_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 ChaCha20_0005_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (5.7s)
  ✅ [gemma4:31b-cloud] tier1 ChaCha20_0006_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.5s)
  ✅ [gemma4:31b-cloud] tier1 ChaCha20_0007_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (42.6s)
  ✅ [gemma4:31b-cloud] tier1 ChaCha20_0008_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
