
🚀 tier5: 140 files × 5 backends = 700 calls
📋 Checkpoint: 127 results already in tier5_live_full.jsonl
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0058_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (6.8s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0156_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (41.3s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0835_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (13.6s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0422_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (9.4s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0207_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (5.2s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0178_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (4.9s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0694_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (8.8s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0961_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (58.5s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0052_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (4.9s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0934_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (5.1s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0353_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (8.2s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0901_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (5.9s)
  ✅ [gemma4:31b-cloud] tier5 RSA-2048_0262_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (5.1s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0251_openssl.bin: GT=3DES PRED=3DES (23.3s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0776_openssl.bin: GT=3DES PRED=3DES (22.2s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0102_openssl.bin: GT=3DES PRED=3DES (29.6s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0333_openssl.bin: GT=3DES PRED=3DES (21.5s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0116_openssl.bin: GT=3DES PRED=3DES (34.6s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0418_openssl.bin: GT=3DES PRED=3DES (29.4s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0388_openssl.bin: GT=3DES PRED=3DES (28.7s)
  ❌ [gpt-oss:120b-cloud] tier5 3DES_0822_openssl.bin: GT=3DES PRED=DES (17.2s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0370_openssl.bin: GT=3DES PRED=3DES (21.4s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0678_openssl.bin: GT=3DES PRED=3DES (25.0s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0742_pycryptodome.bin: GT=3DES PRED=3DES (19.5s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0548_pycryptodome.bin: GT=3DES PRED=3DES (22.4s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0709_pycryptodome.bin: GT=3DES PRED=3DES (24.2s)
  ❌ [gpt-oss:120b-cloud] tier5 3DES_0547_pycryptodome.bin: GT=3DES PRED=DES (33.3s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0421_pycryptodome.bin: GT=3DES PRED=3DES (21.6s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0880_pycryptodome.bin: GT=3DES PRED=3DES (26.1s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0493_pycryptodome.bin: GT=3DES PRED=3DES (22.5s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0896_pycryptodome.bin: GT=3DES PRED=3DES (19.6s)
  ✅ [gpt-oss:120b-cloud] tier5 3DES_0447_pycryptodome.bin: GT=3DES PRED=3DES (21.1s)
  ❌ [gpt-oss:120b-cloud] tier5 3DES_0927_pycryptodome.bin: GT=3DES PRED=DES (23.6s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-128_0558_openssl.bin: GT=AES-128 PRED=3DES (25.9s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0851_openssl.bin: GT=AES-128 PRED=AES-128 (31.4s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0653_openssl.bin: GT=AES-128 PRED=AES-128 (27.4s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0121_openssl.bin: GT=AES-128 PRED=AES-128 (30.0s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-128_0987_openssl.bin: GT=AES-128 PRED=ML-KEM-768 (25.7s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0385_openssl.bin: GT=AES-128 PRED=AES-128 (39.1s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0057_openssl.bin: GT=AES-128 PRED=AES-128 (24.6s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0210_openssl.bin: GT=AES-128 PRED=AES-128 (27.8s)
